nom1;nom2;nom3;nom4;code_postal;longitude;latitude
beaucamps-le-jeune;BEAUCAMPS-LE-JEUNE;beaucamps le jeune;Beaucamps-le-Jeune;80430;1.76667;49.8167
ault;AULT;ault;Ault;80460;1.45;50.1
biencourt;BIENCOURT;biencourt;Biencourt;80140;1.7;49.9667
friville-escarbotin;FRIVILLE-ESCARBOTIN;friville escarbotin;Friville-Escarbotin;80130;1.55;50.0833
bernaville;BERNAVILLE;bernaville;Bernaville;80370;2.16667;50.1333
morlancourt;MORLANCOURT;morlancourt;Morlancourt;80300;2.63333;49.95
breuil-80;BREUIL;breuil;Breuil;80400;2.95;49.7167
beaucamps-le-vieux;BEAUCAMPS-LE-VIEUX;beaucamps le vieux;Beaucamps-le-Vieux;80430;1.78333;49.8333
buverchy;BUVERCHY;buverchy;Buverchy;80400;2.96667;49.7167
havernas;HAVERNAS;havernas;Havernas;80670;2.23333;50.0333
neuville-coppegueule;NEUVILLE-COPPEGUEULE;neuville coppegueule;Neuville-Coppegueule;80430;1.75;49.85
pont-de-metz;PONT-DE-METZ;pont de metz;Pont-de-Metz;80480;2.25;49.8833
guignemicourt;GUIGNEMICOURT;guignemicourt;Guignemicourt;80540;2.16667;49.8667
esclainvillers;ESCLAINVILLERS;esclainvillers;Esclainvillers;80250;2.4;49.6833
soyecourt;SOYECOURT;soyecourt;Soyécourt;80200;2.78333;49.8667
grivillers;GRIVILLERS;grivillers;Grivillers;80700;2.73333;49.65
fresnes-mazancourt;FRESNES-MAZANCOURT;fresnes mazancourt;Fresnes-Mazancourt;80320;2.86667;49.85
vermandovillers;VERMANDOVILLERS;vermandovillers;Vermandovillers;80320;2.78333;49.85
matigny;MATIGNY;matigny;Matigny;80400;3;49.8
framerville-rainecourt;FRAMERVILLE-RAINECOURT;framerville rainecourt;Framerville-Rainecourt;80131;2.71306;49.8606
arry-80;ARRY;arry;Arry;80120;1.71667;50.2833
talmas;TALMAS;talmas;Talmas;80260;2.33333;50.0333
plessier-rozainvillers;LE PLESSIER-ROZAINVILLERS;le plessier rozainvillers;Le Plessier-Rozainvillers;80110;2.55306;49.7503
athies-80;ATHIES;athies;Athies;80200;2.98333;49.85
